,Room Index,Room,Level,Length,Width,Description 1,Description 2,Description 3
C1008101,1,Living,Flat,22.34,10.66,Open Concept,W/O To Balcony,Laminate
C1008101,2,Dining,Flat,22.34,10.66,Open Concept,Laminate,
C1008101,3,Kitchen,Flat,22.34,10.66,Open Concept,Granite Counter,Laminate
C1008101,4,Prim Bdrm,Flat,9.41,9.41,4 Pc Ensuite,Double Closet,Laminate
C1008101,5,2nd Br,Flat,9.15,8.82,Closet,Window,Laminate
C4132724,1,Living,Main,,,Laminate,Combined W/Dining,W/O To Balcony
C4132724,2,Dining,Main,,,Laminate,Combined W/Living,Open Concept
C4132724,3,Kitchen,Main,,,Laminate,Combined W/Dining,Stainless Steel Sink
C4132724,4,Prim Bdrm,Main,,,Laminate,Large Closet,Ensuite Bath
C4132724,5,2nd Br,Main,,,Laminate,Closet,Large Window
C6070991,1,Living,Main,,,,,
C6070991,2,Dining,Main,,,,,
C6070991,3,Kitchen,Main,,,,,
C6070991,4,Br,Main,,,,,
C6070991,5,2nd Br,Main,,,,,
C2560909,1,Living,Main,,,,,
C2560909,2,Dining,Main,,,,,
C2560909,3,Kitchen,Main,,,,,
C2560909,4,Br,Main,,,,,
C2560909,5,2nd Br,Main,,,,,
C2320048,1,Living,Main,,,,,
C2320048,2,Dining,Main,,,,,
C2320048,3,Kitchen,Main,,,,,
C2320048,4,Br,Main,,,,,
C2320048,5,2nd Br,Main,,,,,
C6090459,1,Prim Bdrm,Flat,,,,,
C6090459,2,2nd Br,Flat,,,,,
C6090459,3,Bathroom,Flat,,,,,
C6090459,4,Bathroom,Flat,,,,,
C6090459,5,Living,Flat,,,,,
C6090459,6,Den,Flat,,,,,
C6090459,7,Kitchen,Flat,,,,,
C6851169,1,Living,Flat,49.17,62.29,W/O To Balcony,Hardwood Floor,Open Concept
C6851169,2,Dining,Flat,49.17,62.29,Combined W/Living,Hardwood Floor,Open Concept
C6851169,3,Kitchen,Flat,26.24,26.24,Granite Counter,Ceramic Floor,Breakfast Bar
C6851169,4,Prim Bdrm,Flat,42.61,36.05,W/O To Balcony,W/I Closet,4 Pc Ensuite
C6851169,5,2nd Br,Flat,39.36,29.49,Picture Window,Hardwood Floor,Closet
C6851169,6,Den,Flat,19.68,32.80,Hardwood Floor,,
